date,US_holiday,GB_holiday,CA_holiday,AU_holiday,UA_holiday,RU_holiday,FR_holiday,DE_holiday,BR_holiday,CN_holiday,JP_holiday,PK_holiday,KP_holiday,KR_holiday,IN_holiday,TW_holiday,NL_holiday,ES_holiday,SE_holiday,MX_holiday,IR_holiday,IL_holiday,SA_holiday,SY_holiday,FI_holiday,IE_holiday,AT_holiday,NO_holiday,CH_holiday,IT_holiday,MY_holiday,EG_holiday,TR_holiday,PT_holiday,PS_holiday,AE_holiday,Holidays
Jul-14,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,3,4,3,0,0,3,26
Aug-14,0,2,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,5,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,20
Sep-14,1,0,1,0,0,0,0,0,1,1,2,0,0,4,0,1,0,0,4,1,0,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,22
Oct-14,1,0,1,0,0,0,0,1,1,3,1,0,0,2,2,2,0,1,4,0,0,11,6,0,0,1,1,0,0,0,4,5,5,0,0,5,57
Nov-14,2,1,0,0,0,1,2,0,2,0,3,0,0,0,0,0,0,1,6,2,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,23
Dec-14,1,2,2,2,0,1,1,2,1,0,1,0,0,1,1,0,2,3,8,1,0,8,0,0,4,2,3,2,1,3,1,0,0,2,0,2,57
Jan-15,2,2,1,2,2,8,1,1,1,1,2,0,0,1,2,1,1,2,6,1,0,0,0,0,2,1,2,1,1,2,2,4,1,1,0,2,56
Feb-15,1,0,1,0,0,1,0,0,2,3,1,0,0,3,0,5,0,0,4,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,25
Mar-15,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,5,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17
Apr-15,0,2,2,3,1,0,1,2,3,1,1,0,0,0,0,1,4,2,6,0,0,11,0,0,3,1,1,4,3,3,0,3,1,3,0,0,62
May-15,1,2,1,0,4,2,4,3,1,1,4,0,0,3,1,0,4,1,7,1,0,3,0,0,3,1,3,5,3,1,1,1,2,1,0,1,65
Jun-15,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,7,0,0,0,0,0,2,1,1,0,0,1,2,1,0,1,0,0,22
Jul-15,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,3,4,3,0,0,3,29
Aug-15,0,2,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,5,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,20
